Plant_Name,Scientific_Name,Protein_Seq,Identical_Protein_Groups,Protein,NCBI_link
Cinnamon / Ceylon cinnamon,Cinnamomum verum,326,155,333,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/128608/
Clove,Syzygium aromaticum,367,173,493,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/219868/
Cnidium,Cnidium monnieri,222,139,234,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/94007/
Columbine,Aquilegia vulgaris,138,39,"5,499",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3451/
Comfrey,Symphytum officinale,122,107,151,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/278672/
Common milkweed,Asclepias syriaca,364,168,709,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/48545/
Coriander / cilantro,Coriandrum sativum,312,211,"31,569",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4047/
Corn,Zea mays,"331,066","1,84,367","7,85,174",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4577/
Cornelian cherry,Cornus mas,42,35,62,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4285/
Cornflower,Centaurea cyanus,322,198,346,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/41522/
Corydalis,Corydalis yanhusuo,337,118,339,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/458692/
Cosmos,Cosmos bipinnatus,194,98,215,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/51277/
Costus / Kuth,Saussurea costus,274,135,289,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/324593/
Cranberry,Vaccinium oxycoccos,204,105,210,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/516948/
Cucumber,Cucumis sativus,"57,700","35,168","2,68,411",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3659/
Culantro,Eryngium foetidum,476,107,490,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/477864/
Dandelion,Taraxacum officinale,755,403,908,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/50225/
Daru haridra,Berberis aristata,343,130,343,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/659592/
Devil's claw / Kalahari devil's claw,Harpagophytum procumbens,80,21,80,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/222879/
Dhawaifool,Woodfordia fruticosa,186,95,186,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/141189/
Dill,Anethum graveolens,397,132,429,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/40922/
Echinacea / Coneflower,Echinacea purpurea,427,163,"23,028",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/53751/
Epazote / Alpasotes / American wormseed / Jerusalem-tea,Dysphania ambrosioides,242,128,251,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/330163/
Eucalyptus,Eucalyptus globulus,"42,803","39,151","43,954",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/34317/
Eyebright,Euphrasia officinalis,4,4,4,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/290213/
Fennel,Anethum foeniculum,749,207,868,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/2849586/
Fenugreek,Trigonella foenum-graecum,438,172,"6,853",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/78534/
Feverfew,Tanacetum parthenium,228,124,294,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/127999/
Flax seed,Linum usitatissimum,"3,379","1,274","29,751",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4006/
